id,nombre,descripcion,programa_id,fecha_creacion
mp964ikgfkvylqu1k7,comite mave prueba,,mave_rural,16-05-2026
mpb9l65iytqm9u007s,MAVE 2026,Se entrega informacion a Empresa Constructora Rukatem,mave_rural,18-05-2026
mpbfo0xzflp9hd1zi1v,TERMICO 3 2026,,mejoramiento_termico,18-05-2026
mp5p40xdx71ku4vajji,Comite de Prueba Priscilla,,mp5ozvhmb19clbsa4a7,14-05-2026
comite_0,COMITE DE VIVIENDA RURAL MI NUEVO HOGAR,,csp_rural,01-05-2026
comite_1,COMITE DE VIVIENDA RURAL LA FUERZA,,csp_rural,01-05-2026
comite_2,COMITE DE VIVIENDA RURAL KUME RUKA,,csp_rural,01-05-2026
comite_3,COMITE DE VIVIENDA RURAL NEWEN MAPU,,csp_rural,01-05-2026
comite_4,COMITE DE VIVIENDA RURAL KIMEY RUCA,,csp_rural,01-05-2026
comite_5,COMITE DE VIVIENDA RURAL FALTA CONSTITUIRLO,,csp_rural,01-05-2026
comite_6,COMITE DE VIVIENDA URBANO PIONEROS DE LAUTARO,,csp_urbano,01-05-2026
comite_7,COMITE DE VIVIENDA URBANO FALTA CONSTITUIRLO,,csp_urbano,01-05-2026
comite_desmarque,DESMARQUE DE VIVIENDA,Programa de desmarque de vivienda,habitabilidad,01-05-2026
mos20to5pyx2r9ci0s9,COMITE PRUEBA URBANO,PRUEBA,csp_urbano,04-05-2026
mot2lh6hdyx2slh2l4p,COMITE DE VIVIENDA RURAL PRUEBA,PRUEBA,csp_rural,05-05-2026
mp4sg9dwg4xwaox95xa,ARRIENDO REGULAR 2026,SOLO ARRIENDO REGULAR,mp4oal13gw2vpt4eyb,13-05-2026
